y x
0.00 0.00
41.24 31.61
94.94 29.77
70.96 -19.08
130.63 -6.05
235.99 60.91
277.85 33.15
283.31 98.66
323.34 65.97
356.68 24.09
311.73 -4.70
336.96 -50.55
284.61 -67.07
244.88 -117.62
196.23 -153.60
198.70 -203.76
139.05 -223.53
188.50 -253.71
238.61 -271.23
289.05 -278.47
263.53 -332.49
214.30 -321.67
179.86 -368.71
134.65 -345.79
166.81 -301.62
121.82 -270.85
93.21 -313.71
54.79 -350.71
93.11 -384.62
43.35 -416.68
8.05 -380.57
22.36 -308.06
56.66 -270.72
80.07 -226.25
89.79 -175.04
142.96 -173.10
130.27 -120.54
179.30 -105.13
222.85 -72.36
301.79 -115.41
308.31 -168.07
254.41 -167.27
252.15 -219.13
304.05 -223.05
354.30 -217.42
358.75 -158.74
352.83 -102.51
398.81 -80.94
382.17 -25.41
421.02 6.79
393.53 59.46
358.56 104.58
385.07 147.72
317.43 140.85
341.22 186.47
293.05 215.46
304.37 265.07
250.35 285.17
248.85 335.67
190.60 345.50
195.79 294.56
142.57 293.04
92.66 280.56
80.44 333.81
133.85 344.80
116.12 392.32
59.09 380.80
30.20 422.12
7.24 359.93
-24.96 399.47
-73.30 368.68
-114.09 398.60
-156.85 358.33
-113.39 330.97
-37.76 330.57
32.23 312.99
-8.83 282.88
-40.64 244.02
-60.56 196.55
-113.24 149.25
-64.14 138.87
-89.77 90.23
-140.48 90.36
-186.57 69.21
-140.36 31.59
-180.00 0.90
-205.33 -44.05
-214.94 -97.97
-207.76 -155.99
-256.51 -143.54
-261.60 -79.16
-250.24 -19.43
-224.31 31.35
-285.73 16.11
-311.77 60.01
-255.16 71.36
-274.17 118.03
-225.96 162.30
-213.52 113.62
-164.71 140.26
-171.23 190.73
-163.69 240.43
-114.50 202.21
-100.50 250.60
-74.24 293.75
-143.95 287.71
-190.29 312.87
-238.75 328.18
-213.49 263.86
-263.82 276.04
-314.23 278.67
-329.40 221.35
-278.29 222.38
-225.64 213.05
-281.81 169.06
-333.95 164.55
-382.71 150.78
-327.98 110.15
-376.44 92.71
-360.39 38.95
-402.37 10.11
-335.30 -8.78
-302.03 -48.75
-376.05 -41.04
-409.18 -79.21
-372.84 -125.65
-342.11 -84.64
-301.79 -119.27
-330.51 -163.29
-349.69 -210.28
-283.71 -191.08
-234.12 -208.06
-183.53 -213.35
-133.87 -205.86
-87.17 -183.85
-51.73 -224.55
-94.58 -251.11
-142.97 -265.44
-194.66 -268.16
-247.60 -259.61
-299.88 -240.15
-306.63 -290.13
-250.72 -310.55
-194.37 -320.34
-184.64 -370.01
-139.44 -319.46
-126.02 -369.08
-45.51 -402.16
-70.79 -358.03
-87.82 -308.04
-20.73 -337.45
-41.48 -286.32
-2.56 -254.55
26.45 -212.60
-17.10 -184.14
-45.60 -142.90
-105.54 -136.24
-157.06 -154.70
-162.60 -102.28
-149.38 -53.71
-103.02 -85.95
-52.11 -89.91
-70.44 -36.58
-115.23 -14.92
-85.92 40.21
-42.26 3.71
-36.00 56.60
-23.22 105.64
29.11 79.70
77.34 91.75
75.18 143.00
51.42 187.50
18.34 136.25
-14.42 174.33
11.41 222.19
48.15 257.06
93.06 219.18
122.88 172.91
140.26 236.49
190.69 241.11
242.27 233.89
271.63 167.08
222.79 182.12
172.62 184.67
188.21 129.53
237.86 120.51
186.41 75.84
135.18 122.59
127.52 73.06
167.26 28.72
218.26 7.91
256.84 -25.15
186.67 -33.99
143.79 -60.20
91.82 -64.56
80.35 -115.51
41.86 -158.89
5.10 -123.59
34.34 -83.19
-10.45 -59.08
20.26 -22.12
0.00 0.00
